,IP,Change rate compared to the previous month
2013.1,88.0,-8.90269151
2013.2,83.5,-5.11363636
2013.3,91.1,9.10179641
2013.4,90.1,-1.09769484
2013.5,90.9,0.88790233
2013.6,91.0,0.110011
2013.7,89.7,-1.42857143
2013.8,87.4,-2.56410256
2013.9,88.1,0.80091533
2013.10,91.9,4.31328036
2013.11,91.6,-0.32644178
2013.12,98.7,7.7510917
2014.1,89.0,-9.82776089
2014.2,85.0,-4.49438202
2014.3,93.7,10.23529412
2014.4,91.6,-2.2411953
2014.5,90.7,-0.98253275
2014.6,92.7,2.20507166
2014.7,92.5,-0.21574973
2014.8,88.0,-4.86486486
2014.9,89.6,1.81818182
2014.10,92.2,2.90178571
2014.11,91.2,-1.0845987
2014.12,101.0,10.74561404
2015.1,89.2,-11.68316832
2015.2,84.8,-4.93273543
2015.3,94.7,11.6745283
2015.4,92.9,-1.90073918
2015.5,91.3,-1.72228202
2015.6,95.1,4.16210296
2015.7,92.1,-3.15457413
2015.8,90.0,-2.28013029
2015.9,93.6,4.0
2015.10,95.5,2.02991453
2015.11,94.7,-0.83769634
2015.12,104.1,9.92608237
2016.1,90.5,-13.06436119
2016.2,87.1,-3.75690608
2016.3,97.8,12.2847302
2016.4,94.0,-3.88548057
2016.5,95.6,1.70212766
2016.6,99.5,4.07949791
2016.7,94.9,-4.62311558
2016.8,94.0,-0.9483667
2016.9,94.8,0.85106383
2016.10,97.1,2.42616034
2016.11,99.0,1.95674562
2016.12,108.0,9.09090909
2017.1,92.7,-14.16666667
2017.2,91.8,-0.97087379
2017.3,102.0,11.11111111
2017.4,97.1,-4.80392157
2017.5,98.1,1.02986612
2017.6,101.3,3.26197757
2017.7,97.3,-3.94866732
2017.8,96.3,-1.02774923
2017.9,102.2,6.12668744
2017.10,94.9,-7.14285714
2017.11,101.0,6.42781876
2017.12,107.7,6.63366337
2018.1,97.2,-9.74930362
2018.2,91.3,-6.06995885
2018.3,101.9,11.61007667
2018.4,99.7,-2.15897939
2018.5,100.2,0.50150451
2018.6,102.6,2.39520958
2018.7,100.0,-2.53411306
2018.8,98.6,-1.4
2018.9,97.8,-0.81135903
2018.10,102.2,4.49897751
2018.11,101.3,-0.88062622
2018.12,108.2,6.81145114
2019.1,98.3,-9.14972274
2019.2,89.6,-8.85045778
2019.3,101.4,13.16964286
2019.4,100.8,-0.59171598
2019.5,102.1,1.28968254
2019.6,102.0,-0.09794319
2019.7,101.5,-0.49019608
2019.8,99.2,-2.26600985
2019.9,99.0,-0.2016129
2019.10,102.9,3.93939394
2019.11,103.4,0.48590865
2019.12,112.9,9.18762089
2020.1,98.2,-13.02037201
2020.2,94.3,-3.97148676
2020.3,102.0,8.16542948
2020.4,95.3,-6.56862745
2020.5,95.8,0.52465897
2020.6,102.2,6.68058455
2020.7,99.1,-3.0332681
2020.8,95.3,-3.8345106
2020.9,101.8,6.82056663
2020.10,99.5,-2.25933202
2020.11,102.7,3.2160804
2020.12,113.8,10.80817916
2021.1,98.1,-13.79613357
2021.2,94.5,-3.66972477
2021.3,108.3,14.6031746
2021.4,103.7,-4.24746076
2021.5,103.2,-0.48216008
2021.6,109.7,6.29844961
2021.7,104.2,-5.01367366
2021.8,101.5,-2.59117083
2021.9,104.6,3.05418719
2021.10,105.3,0.66921606
2021.11,109.2,3.7037037
2021.12,123.5,13.0952381
2022.1,104.8,-15.1417004
2022.2,99.3,-5.2480916
2022.3,113.1,13.89728097
2022.4,109.9,-2.82935455
2022.5,111.4,1.36487716
2022.6,114.6,2.87253142
2022.7,109.6,-4.36300175
2022.8,107.8,-1.64233577
2022.9,109.2,1.2987013
2022.10,109.4,0.18315018
2022.11,111.9,2.28519196
2022.12,125.8,12.42180518
2023.1,103.3,-17.88553259
2023.2,103.2,-0.09680542
2023.3,115.6,12.01550388
2023.4,108.7,-5.96885813
2023.5,111.1,2.20791168
2023.6,116.0,4.41044104
2023.7,109.1,-5.94827586
2023.8,109.8,0.6416132
2023.9,112.7,2.64116576
2023.10,111.3,-1.24223602
2023.11,114.9,3.23450135
2023.12,126.8,10.35683203
2024.1,110.4,-12.93375394
2024.2,105.3,-4.61956522
2024.3,115.8,9.97150997
2024.4,113.1,-2.33160622
2024.5,113.8,0.61892131
2024.6,116.3,2.19683656
2024.7,111.3,-4.29922614
2024.8,110.9,-0.35938904
2024.9,110.8,-0.09017133
2024.10,113.8,2.70758123
2024.11,113.8,0.0
2024.12,127.7,12.21441125
2025.1,106.2,-16.83633516
2025.2,106.6,0.37664783
2025.3,117.1,9.84990619
2025.4,113.9,-2.73270709
2025.5,112.9,-0.87796313
2025.6,117.6,4.16297609
2025.7,113.5,-3.48639456
2025.8,110.5,-2.64317181
2025.9,118.6,7.33031674
2025.10,109.7,-7.50421585
2025.11,114.2,4.10209663
2025.12,130.0,13.83537653
