target,horizon,beta_bir,se_hac,p_value,ci_low,ci_high,n_obs,n_lags
HPI_gr,1,0.06640770801769291,0.28154705069425834,0.813535738727239,-0.4854143712965262,0.618229787331912,139,3
HPI_gr,2,-0.36557779311080457,0.33546883600939825,0.27582245820158247,-1.0230846296247986,0.29192904340318954,138,3
HPI_gr,3,-0.8323023951344611,0.30193373486704517,0.005841056472665651,-1.4240816411915351,-0.24052314907738703,137,3
HPI_gr,4,-1.5109112862239114,0.3721527170014056,4.908895189465411e-05,-2.2403172082953935,-0.7815053641524293,136,3
HPI_gr,5,-1.9040963815050909,0.48289000247825614,8.042619394477884e-05,-2.8505433948569303,-0.9576493681532514,135,3
HPI_gr,6,-2.018434600104317,0.6212734026786068,0.0011586567483194469,-3.2361080939070366,-0.8007611063015974,134,3
HPI_gr,7,-1.4805701174638695,0.699203884802839,0.03421672096002276,-2.8509845495279267,-0.11015568539981224,133,3
HPI_gr,8,-1.7792479886917845,0.5860359648275358,0.0023968130186339163,-2.9278573733989366,-0.6306386039846323,132,3
HPI_gr,9,-1.4117379896134878,0.39698583605930526,0.0003763407729344682,-2.1898159306622484,-0.6336600485647272,131,3
HPI_gr,10,-0.773661718608851,0.47767633958595695,0.10531052638525873,-1.709890140464251,0.1625667032465491,130,3
HPI_gr,11,-1.0343762096190523,0.45024086660245244,0.02159686780517661,-1.916832092527962,-0.15192032671014266,129,3
HPI_gr,12,-1.2153526818634615,0.4106458506745369,0.003080259970290757,-2.0202037595863667,-0.41050160414055603,128,3
IP_gr,1,5.566054934244115,3.7794933033082754,0.1408322930221411,-1.8416158200504231,12.973725688538654,139,3
IP_gr,2,-11.96159215331579,4.339558911650753,0.005844016328454034,-20.4669713289411,-3.4562129776904786,138,3
IP_gr,3,-1.708021096716376,5.134957289378613,0.7394164980911482,-11.772352446049878,8.356310252617126,137,3
IP_gr,4,8.620712671049557,4.737728652782285,0.06882181978328039,-0.6650648569271933,17.906490199026308,136,3
IP_gr,5,-6.360365182204442,5.072541945649523,0.20988517492396574,-16.30236470574624,3.581634341337356,135,3
IP_gr,6,-1.9112685797172513,5.876510557817471,0.7450004306873341,-13.429017627808879,9.606480468374375,134,3
IP_gr,7,4.999260896610866,4.776197557037815,0.29523652316026383,-4.361914298231441,14.360436091453174,133,3
IP_gr,8,-3.0620656043351797,3.908241487123319,0.433339801986266,-10.722078161982147,4.597946953311786,132,3
IP_gr,9,1.8031952217363136,2.2184270537581754,0.4163178178165913,-2.5448419059590126,6.151232349431639,131,3
IP_gr,10,0.3767323015142885,2.016291500626006,0.8517828180903877,-3.5751264220469023,4.32859102507548,130,3
IP_gr,11,-0.25044016714542217,2.659947071868713,0.924988165775827,-5.463840628790875,4.96296029450003,129,3
IP_gr,12,-0.2502132397197,2.730052687670279,0.9269749861245151,-5.601018183450224,5.100591704010824,128,3
