target,horizon,beta_bir,se_hac,p_value,ci_low,ci_high,n_obs,n_lags,beta_cut_025,ci_low_cut_025,ci_high_cut_025
HPI_gr,1,0.0664077080176929,0.2815470506942583,0.813535738727239,-0.4854143712965262,0.618229787331912,139,3,-0.016601927004423225,-0.154557446832978,0.12135359282413155
HPI_gr,2,-0.3655777931108045,0.3354688360093982,0.2758224582015824,-1.0230846296247986,0.2919290434031895,138,3,0.09139444827770113,-0.07298226085079737,0.25577115740619966
HPI_gr,3,-0.8323023951344611,0.3019337348670451,0.0058410564726656,-1.4240816411915351,-0.240523149077387,137,3,0.20807559878361528,0.06013078726934675,0.3560204102978838
HPI_gr,4,-1.5109112862239114,0.3721527170014056,4.908895189465411e-05,-2.2403172082953935,-0.7815053641524293,136,3,0.37772782155597784,0.19537634103810733,0.5600793020738484
HPI_gr,5,-1.9040963815050909,0.4828900024782561,8.042619394477884e-05,-2.8505433948569303,-0.9576493681532514,135,3,0.4760240953762727,0.23941234203831285,0.7126358487142326
HPI_gr,6,-2.018434600104317,0.6212734026786068,0.0011586567483194,-3.236108093907037,-0.8007611063015974,134,3,0.5046086500260792,0.20019027657539934,0.8090270234767593
HPI_gr,7,-1.4805701174638697,0.699203884802839,0.0342167209600227,-2.8509845495279267,-0.1101556853998122,133,3,0.3701425293659674,0.02753892134995305,0.7127461373819817
HPI_gr,8,-1.7792479886917845,0.5860359648275358,0.0023968130186339,-2.9278573733989366,-0.6306386039846323,132,3,0.4448119971729461,0.15765965099615808,0.7319643433497341
HPI_gr,9,-1.4117379896134878,0.3969858360593052,0.0003763407729344,-2.1898159306622484,-0.6336600485647272,131,3,0.35293449740337196,0.1584150121411818,0.5474539826655621
HPI_gr,10,-0.773661718608851,0.4776763395859569,0.1053105263852587,-1.709890140464251,0.1625667032465491,130,3,0.19341542965221276,-0.04064167581163727,0.42747253511606276
HPI_gr,11,-1.0343762096190523,0.4502408666024524,0.0215968678051766,-1.916832092527962,-0.1519203267101426,129,3,0.2585940524047631,0.03798008167753565,0.4792080231319905
HPI_gr,12,-1.2153526818634617,0.4106458506745369,0.0030802599702907,-2.0202037595863667,-0.410501604140556,128,3,0.3038381704658654,0.102625401035139,0.5050509398965917
IP_gr,1,5.566054934244115,3.7794933033082754,0.1408322930221411,-1.8416158200504231,12.973725688538654,139,3,-1.3915137335610288,-3.2434314221346634,0.4604039550126058
IP_gr,2,-11.96159215331579,4.339558911650753,0.005844016328454,-20.4669713289411,-3.456212977690478,138,3,2.9903980383289475,0.8640532444226195,5.116742832235275
IP_gr,3,-1.708021096716376,5.134957289378613,0.7394164980911482,-11.772352446049878,8.356310252617126,137,3,0.427005274179094,-2.0890775631542815,2.9430881115124694
IP_gr,4,8.620712671049557,4.737728652782285,0.0688218197832803,-0.6650648569271933,17.906490199026308,136,3,-2.155178167762389,-4.476622549756577,0.16626621423179833
IP_gr,5,-6.360365182204442,5.072541945649523,0.2098851749239657,-16.30236470574624,3.581634341337356,135,3,1.5900912955511104,-0.895408585334339,4.07559117643656
IP_gr,6,-1.9112685797172513,5.876510557817471,0.7450004306873341,-13.42901762780888,9.606480468374375,134,3,0.4778171449293128,-2.401620117093594,3.35725440695222
IP_gr,7,4.999260896610866,4.776197557037815,0.2952365231602638,-4.361914298231441,14.360436091453174,133,3,-1.2498152241527165,-3.5901090228632935,1.0904785745578602
IP_gr,8,-3.0620656043351797,3.908241487123319,0.433339801986266,-10.722078161982148,4.597946953311786,132,3,0.7655164010837949,-1.1494867383279466,2.680519540495537
IP_gr,9,1.8031952217363136,2.2184270537581754,0.4163178178165913,-2.5448419059590126,6.151232349431639,131,3,-0.4507988054340784,-1.5378080873579099,0.6362104764897532
IP_gr,10,0.3767323015142885,2.016291500626006,0.8517828180903877,-3.5751264220469023,4.32859102507548,130,3,-0.09418307537857212,-1.08214775626887,0.8937816055117256
IP_gr,11,-0.2504401671454221,2.659947071868713,0.924988165775827,-5.463840628790875,4.96296029450003,129,3,0.06261004178635553,-1.2407400736250076,1.3659601571977187
IP_gr,12,-0.2502132397197,2.730052687670279,0.9269749861245152,-5.601018183450224,5.100591704010824,128,3,0.062553309929925,-1.275147926002706,1.400254545862556
